Material_Flag,V1 (m/s),b (mm),d12 (mm),d23 (mm),h1 (mm),h2 (mm),h3 (mm),beta1 (deg),Vc12 (m/s),Vc23 (m/s),T_Interface1 (K),T_Interface2 (K),Clearance_OK,Weldable
0,600.0,6.0,3.0,0.5,0.8,0.8,0.8,26.56505117707799,652.8752698448463,208.85589873391663,1000000000.0,1000000000.0,0,0
0,600.0,6.0,3.0,0.5,0.8,0.8,1.15,26.56505117707799,652.8752698448463,208.85589873391663,1000000000.0,1000000000.0,0,0
0,600.0,6.0,3.0,0.5,0.8,0.8,1.5,26.56505117707799,652.8752698448463,208.85589873391663,1000000000.0,1000000000.0,0,0
0,600.0,6.0,3.0,0.5,0.8,1.15,0.8,26.56505117707799,652.8752698448463,208.417925905863,1000000000.0,1000000000.0,0,0
0,600.0,6.0,3.0,0.5,0.8,1.15,1.15,26.56505117707799,652.8752698448463,208.417925905863,1000000000.0,1000000000.0,0,0
0,600.0,6.0,3.0,0.5,0.8,1.15,1.5,26.56505117707799,652.8752698448463,208.417925905863,1000000000.0,1000000000.0,0,0
0,600.0,6.0,3.0,0.5,0.8,1.5,0.8,26.56505117707799,652.8752698448463,203.56595221818392,1000000000.0,1000000000.0,0,0
0,600.0,6.0,3.0,0.5,0.8,1.5,1.15,26.56505117707799,652.8752698448463,203.56595221818392,1000000000.0,1000000000.0,0,0
0,600.0,6.0,3.0,0.5,0.8,1.5,1.5,26.56505117707799,652.8752698448463,203.56595221818392,1000000000.0,1000000000.0,0,0
0,600.0,6.0,3.0,0.5,1.15,0.8,0.8,26.56505117707799,652.8752698448463,208.85589873391663,1000000000.0,1000000000.0,0,0
0,600.0,6.0,3.0,0.5,1.15,0.8,1.15,26.56505117707799,652.8752698448463,208.85589873391663,1000000000.0,1000000000.0,0,0
0,600.0,6.0,3.0,0.5,1.15,0.8,1.5,26.56505117707799,652.8752698448463,208.85589873391663,1000000000.0,1000000000.0,0,0
0,600.0,6.0,3.0,0.5,1.15,1.15,0.8,26.56505117707799,652.8752698448463,208.417925905863,1000000000.0,1000000000.0,0,0
0,600.0,6.0,3.0,0.5,1.15,1.15,1.15,26.56505117707799,652.8752698448463,208.417925905863,1000000000.0,1000000000.0,0,0
0,600.0,6.0,3.0,0.5,1.15,1.15,1.5,26.56505117707799,652.8752698448463,208.417925905863,1000000000.0,1000000000.0,0,0
0,600.0,6.0,3.0,0.5,1.15,1.5,0.8,26.56505117707799,652.8752698448463,203.56595221818392,1000000000.0,1000000000.0,0,0
0,600.0,6.0,3.0,0.5,1.15,1.5,1.15,26.56505117707799,652.8752698448463,203.56595221818392,1000000000.0,1000000000.0,0,0
0,600.0,6.0,3.0,0.5,1.15,1.5,1.5,26.56505117707799,652.8752698448463,203.56595221818392,1000000000.0,1000000000.0,0,0
0,600.0,6.0,3.0,0.5,1.5,0.8,0.8,26.56505117707799,652.8752698448463,208.85589873391663,1000000000.0,1000000000.0,0,0
0,600.0,6.0,3.0,0.5,1.5,0.8,1.15,26.56505117707799,652.8752698448463,208.85589873391663,1000000000.0,1000000000.0,0,0
0,600.0,6.0,3.0,0.5,1.5,0.8,1.5,26.56505117707799,652.8752698448463,208.85589873391663,1000000000.0,1000000000.0,0,0
0,600.0,6.0,3.0,0.5,1.5,1.15,0.8,26.56505117707799,652.8752698448463,208.417925905863,1000000000.0,1000000000.0,0,0
0,600.0,6.0,3.0,0.5,1.5,1.15,1.15,26.56505117707799,652.8752698448463,208.417925905863,1000000000.0,1000000000.0,0,0
0,600.0,6.0,3.0,0.5,1.5,1.15,1.5,26.56505117707799,652.8752698448463,208.417925905863,1000000000.0,1000000000.0,0,0
0,600.0,6.0,3.0,0.5,1.5,1.5,0.8,26.56505117707799,652.8752698448463,203.56595221818392,1000000000.0,1000000000.0,0,0
0,600.0,6.0,3.0,0.5,1.5,1.5,1.15,26.56505117707799,652.8752698448463,203.56595221818392,1000000000.0,1000000000.0,0,0
0,600.0,6.0,3.0,0.5,1.5,1.5,1.5,26.56505117707799,652.8752698448463,203.56595221818392,1000000000.0,1000000000.0,0,0
0,600.0,6.0,3.0,1.3333333333333335,0.8,0.8,0.8,26.56505117707799,652.8752698448463,112.20598674113835,1000000000.0,1000000000.0,0,0
0,600.0,6.0,3.0,1.3333333333333335,0.8,0.8,1.15,26.56505117707799,652.8752698448463,112.20598674113835,1000000000.0,1000000000.0,0,0
0,600.0,6.0,3.0,1.3333333333333335,0.8,0.8,1.5,26.56505117707799,652.8752698448463,112.20598674113835,1000000000.0,1000000000.0,0,0
0,600.0,6.0,3.0,1.3333333333333335,0.8,1.15,0.8,26.56505117707799,652.8752698448463,145.2939603283081,1000000000.0,1000000000.0,0,0
0,600.0,6.0,3.0,1.3333333333333335,0.8,1.15,1.15,26.56505117707799,652.8752698448463,145.2939603283081,1000000000.0,1000000000.0,0,0
0,600.0,6.0,3.0,1.3333333333333335,0.8,1.15,1.5,26.56505117707799,652.8752698448463,145.2939603283081,1000000000.0,1000000000.0,0,0
0,600.0,6.0,3.0,1.3333333333333335,0.8,1.5,0.8,26.56505117707799,652.8752698448463,155.72028469854988,1000000000.0,1000000000.0,0,0
0,600.0,6.0,3.0,1.3333333333333335,0.8,1.5,1.15,26.56505117707799,652.8752698448463,155.72028469854988,1000000000.0,1000000000.0,0,0
0,600.0,6.0,3.0,1.3333333333333335,0.8,1.5,1.5,26.56505117707799,652.8752698448463,155.72028469854988,1000000000.0,1000000000.0,0,0
0,600.0,6.0,3.0,1.3333333333333335,1.15,0.8,0.8,26.56505117707799,652.8752698448463,112.20598674113835,1000000000.0,1000000000.0,0,0
0,600.0,6.0,3.0,1.3333333333333335,1.15,0.8,1.15,26.56505117707799,652.8752698448463,112.20598674113835,1000000000.0,1000000000.0,0,0
0,600.0,6.0,3.0,1.3333333333333335,1.15,0.8,1.5,26.56505117707799,652.8752698448463,112.20598674113835,1000000000.0,1000000000.0,0,0
0,600.0,6.0,3.0,1.3333333333333335,1.15,1.15,0.8,26.56505117707799,652.8752698448463,145.2939603283081,1000000000.0,1000000000.0,0,0
0,600.0,6.0,3.0,1.3333333333333335,1.15,1.15,1.15,26.56505117707799,652.8752698448463,145.2939603283081,1000000000.0,1000000000.0,0,0
0,600.0,6.0,3.0,1.3333333333333335,1.15,1.15,1.5,26.56505117707799,652.8752698448463,145.2939603283081,1000000000.0,1000000000.0,0,0
0,600.0,6.0,3.0,1.3333333333333335,1.15,1.5,0.8,26.56505117707799,652.8752698448463,155.72028469854988,1000000000.0,1000000000.0,0,0
0,600.0,6.0,3.0,1.3333333333333335,1.15,1.5,1.15,26.56505117707799,652.8752698448463,155.72028469854988,1000000000.0,1000000000.0,0,0
0,600.0,6.0,3.0,1.3333333333333335,1.15,1.5,1.5,26.56505117707799,652.8752698448463,155.72028469854988,1000000000.0,1000000000.0,0,0
0,600.0,6.0,3.0,1.3333333333333335,1.5,0.8,0.8,26.56505117707799,652.8752698448463,112.20598674113835,1000000000.0,1000000000.0,0,0
0,600.0,6.0,3.0,1.3333333333333335,1.5,0.8,1.15,26.56505117707799,652.8752698448463,112.20598674113835,1000000000.0,1000000000.0,0,0
0,600.0,6.0,3.0,1.3333333333333335,1.5,0.8,1.5,26.56505117707799,652.8752698448463,112.20598674113835,1000000000.0,1000000000.0,0,0
0,600.0,6.0,3.0,1.3333333333333335,1.5,1.15,0.8,26.56505117707799,652.8752698448463,145.2939603283081,1000000000.0,1000000000.0,0,0
0,600.0,6.0,3.0,1.3333333333333335,1.5,1.15,1.15,26.56505117707799,652.8752698448463,145.2939603283081,1000000000.0,1000000000.0,0,0
0,600.0,6.0,3.0,1.3333333333333335,1.5,1.15,1.5,26.56505117707799,652.8752698448463,145.2939603283081,1000000000.0,1000000000.0,0,0
0,600.0,6.0,3.0,1.3333333333333335,1.5,1.5,0.8,26.56505117707799,652.8752698448463,155.72028469854988,1000000000.0,1000000000.0,0,0
0,600.0,6.0,3.0,1.3333333333333335,1.5,1.5,1.15,26.56505117707799,652.8752698448463,155.72028469854988,1000000000.0,1000000000.0,0,0
0,600.0,6.0,3.0,1.3333333333333335,1.5,1.5,1.5,26.56505117707799,652.8752698448463,155.72028469854988,1000000000.0,1000000000.0,0,0
